Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
0.90062924,2.62,10.59580621,84.84901601,172.0730941,4.371146666,5.125361338
9.680248868,18.34,10.70909404,217.638318,83.53431346,12.94415031,4.426152786
8.239489191,21.09,3.643847581,229.9878038,50.09507506,11.34095445,3.125299651
12.44603426,32.84,2.664448277,273.9789264,21.32924446,13.60795289,4.035896841
6.317115171,15.08,8.401459476,197.7139714,94.47392233,9.770678799,6.117261866
8.782524946,17.66,4.373912879,93.23633601,130.9435192,8.620872591,7.363918203
9.847480106,24.29,4.014442037,229.3801855,88.33634998,12.70053476,5.922133882
10.27618665,26.85,3.712978209,219.9742223,67.27203087,9.721678404,4.946494031
13.24941597,19.87,5.573223648,228.9217356,58.52680155,10.63139877,4.052157518
0.297812862,1.81,10.48934497,63.16673632,151.4303163,3.002017356,3.141560328
0.199938685,0.12,9.952028615,30.34940442,189.8790344,1.343616478,2.393569768
0.690760389,2.88,9.883547095,95.47219124,152.0229135,5.305152364,3.515555596
0.399877371,2.92,8.791640227,63.15128596,164.2889128,3.216928733,3.043996336
0.394720222,1.56,12.14401899,59.7646839,204.3299084,3.315720227,3.385470273
0.398675335,1.46,8.988850029,62.65581431,213.2897777,2.344260714,3.011475005
0.298110378,0.3,9.576364156,53.63109316,171.5046635,3.338907082,3.84076888
0,1.03,7.501960997,51.54953636,184.3100437,2.005347594,3.515555596
0.397083816,1.51,12.95186716,69.86393246,176.1663168,4.002689808,3.56433758
0.990732032,5.13,9.168170266,100.7135441,161.0020607,4.327609349,3.613119588
0.199938685,1.03,11.90030701,60.69880883,192.9974942,2.015424717,2.718783052
0.19834396,0.12,11.08689935,44.40071683,180.1225637,5.331598787,3.645640919
1.285391102,6.56,8.921326559,162.348116,122.902686,8.305780292,5.011536692
0.598612815,4.19,8.171026742,83.98181367,169.3701056,3.352302898,3.304166958
0.299006501,1.64,10.03014419,55.16768041,199.4097159,2.344260714,3.466773611
0.099668834,0,8.549059115,39.58013636,188.8623128,2.344260714,2.96269302
