Labile.Pi,Labile.Po,OH.Pi,OH.Po,acid.P,PME
3.7,13.1,12.7,34.1,0.6,0.122205449
5,23.2,19.6,61.5,2.7,0.114298038
6.9,18.8,16.8,40.4,3.5,0.063978147
9.8,13.9,11.9,35.5,2.7,0.102077493
7.1,16.3,19,37.3,7.5,0.02444109
6.7,16.6,15.2,41.6,1.8,0.098483215
7.4,16.3,14.9,51.9,6,0.078355258
5.5,21.9,24.1,57,3,0.033786212
8.9,9.7,11.6,27.9,3.5,0.013658256
6.4,5.1,16.1,11.1,0.6,0.031629646
6.3,8.5,19,23.3,0.5,0.054633024
9.7,19,21,47.6,1.6,0.012220545
10.3,15.8,24.4,40.4,1.7,0.032348501
14.1,6.3,22.3,25.4,7.2,0.013658256
8.1,9.4,25.1,9.1,1,0.053195313
7,8,14.8,14.8,1.2,0.027316512
8.3,15,20.7,39.3,2.2,0.050319891
5.5,6.6,17.6,0.9,1.4,0.028035368
5.1,5.1,19.7,4,0.9,0.015095967
6.9,12.3,23.1,19.9,1.4,0.031629646
13.2,12.8,13.8,33.8,1.5,0.175400762
10.4,12.7,27.8,16.5,1.1,0.033786212
10.6,10.6,26.1,28.3,3.8,0.043131335
9.2,12.7,19.5,21.6,0.9,0.081949536
13.6,4.5,25.3,6.7,2.3,0.066853569
13.6,18.2,36,58.7,3.2,0.003594278
17.6,13.4,36.8,54.8,7.3,0.11070376
13.4,13.8,30.3,42.7,2.3,0.049601035
11.9,33.1,53.6,56.1,12.8,0.086981525
14.2,37.9,50.5,68.4,9.1,0.058946158
18.3,8.6,29.4,44.7,2.7,0.124362016
15.5,22.5,42.3,84.7,3.6,0.121486593
17.3,1,3,39.5,0.19,8.504494285
14.3,0.8,6.7,35.1,0.33,6.56346704
9.8,1.2,2.9,40.4,0.14,6.555664582
12.3,0.3,3.3,40.1,0.21,8.797044785
18.1,0.7,1.6,39.7,0.57,9.677287758
19.39,41.93,303,260,43.2,0.8
25.05,30.85,384,318,43.7,1.02
286.14,91.75,1600,587,166,0.88
260.11,41.61,1840,632,150,1.3
235.73,78.22,1720,736,145,1.93
236.12,41.66,1630,826,153,1.56
251.63,30.61,1850,858,136,2.17
321.01,127.81,2190,883,222,2.53
36.36,23.73,414,258,46.6,1.15
21.79,37.16,455,259,41.3,2.22
334.3,83.94,1700,878,215,1.51
294.34,36.2,1800,989,194,1.94
261.38,86.72,1540,829,151,1.55
285.39,119.41,1800,962,198,2.83
14.2,5.5,10.8,76.8,38.8,1.827096542
14.9,3.1,11.3,65.7,25.2,1.055014018
13.6,3,12.5,87.7,35.1,1.01752498
13.1,14.1,11.8,87.6,40,1.884193803
18,15.9,11.6,77.6,34.8,1.573533175
17,7,12.8,92.3,37.4,1.470146647
25,21.7,17.4,167.1,84.8,2.421536194
25.9,17,17.3,137.1,73.6,2.318136007
24.2,8.9,16.3,115.2,62.4,1.847422903
20.2,14.4,10.8,125.8,66.7,2.469242326
24.4,18.2,12.3,118.7,58.3,2.205717058
22.4,9.3,14.4,115.2,75.6,1.753843002
18.7,10.1,12.3,135.2,51.8,3.788258213
16.8,15,14.1,83.1,42.7,3.468227302
15.1,6.5,10.3,83.1,39.1,2.24413342
20,10.5,21.7,129.7,61.7,3.525161383
13.7,15,20.2,92,52.3,2.696594781
16.2,10.8,19.4,75.1,55.5,2.414232622
19.4,18.5,20.4,166.7,105.9,3.921277406
20.8,15.7,24.9,102,100.7,4.76899504
23.3,10.1,18.8,79.7,105.3,3.356548055
21.4,19,22,123.2,83.6,3.964192366
19.4,13.3,20.4,98.5,50,3.884355546
20,8.8,19.7,100.7,77.8,3.375971533
10.1,45.4,30.2,44.2,1.01,1.732797823
9.3,45.4,22.1,38.3,1.02,1.993107399
14.3,41.4,18.6,34.8,0.99,0.636070679
9.8,43.7,23.7,32.9,1.08,1.714300858
26.67991,18.59159,55.57043,72.78367,199.84716,1.118683057
131.300609,48.78624,165.77181,220.99256,397.56559,1.621738193
131.53616,53.12936,159.73154,272.65941,392.85434,1.99611818
197.86998,50.66961,317.18121,448.07348,624.55424,2.65868737
217.80048,62.90556,348.18793,490.14903,709.53405,2.739055424
