Labile.Pi,Labile.Po,OH.Pi,OH.Po,acid.P,PME
112.3582768,2.393780897,62.50381517,35.59229822,255.8727776,0.369954133
104.2225351,2.845242329,61.25418484,32.97060815,257.9104596,0.342259462
115.2388738,2.319763958,62.96907402,34.2160113,305.4061451,0.33175293
20.02896541,0.607290671,24.28384171,24.72008456,190.0230892,0.241840334
18.79859911,0.814934375,24.6148908,29.46220934,173.6704515,0.382860708
35.19180989,1.401652465,39.50384538,32.5240477,196.6994926,0.333083772
28.04643887,2.370429285,35.28976193,42.71835232,175.8801416,0.480083242
28.40986181,1.94600795,36.55425705,42.51349286,186.0311384,0.514329749
32.03319679,2.010225327,43.64322241,49.80561287,190.2365216,0.564652713
24.78381617,8.008737154,204.6769885,100.1745741,11.39782985,4.149721487
9.074039006,9.411020177,126.381362,157.1252838,5.023415816,3.889550864
27.07689719,6.161184587,226.9326207,83.33074249,13.75824152,4.930233377
20.31158412,7.860313973,185.9969904,113.5435334,10.05982906,4.323168576
18.64192245,9.077444152,181.5635966,101.5715844,8.952444614,5.271707315
39.44785146,2.384442037,228.7701318,67.45690235,9.024064171,5.044058023
16.32717258,14.81390736,179.5526532,103.8936142,9.321004751,3.548076927
3.52062924,10.59580621,84.84901601,172.0730941,4.371146666,5.125361338
28.02024887,10.70909404,217.638318,83.53431346,12.94415031,4.426152786
29.32948919,3.643847581,229.9878038,50.09507506,11.34095445,3.125299651
45.28603426,2.664448277,273.9789264,21.32924446,13.60795289,4.035896841
21.39711517,8.401459476,197.7139714,94.47392233,9.770678799,6.117261866
26.44252495,4.373912879,93.23633601,130.9435192,8.620872591,7.363918203
34.13748011,4.014442037,229.3801855,88.33634998,12.70053476,5.922133882
37.12618665,3.712978209,219.9742223,67.27203087,9.721678404,4.946494031
33.11941597,5.573223648,228.9217356,58.52680155,10.63139877,4.052157518
2.107812862,10.48934497,63.16673632,151.4303163,3.002017356,3.141560328
0.319938685,9.952028615,30.34940442,189.8790344,1.343616478,2.393569768
3.570760389,9.883547095,95.47219124,152.0229135,5.305152364,3.515555596
3.319877371,8.791640227,63.15128596,164.2889128,3.216928733,3.043996336
1.954720222,12.14401899,59.7646839,204.3299084,3.315720227,3.385470273
1.858675335,8.988850029,62.65581431,213.2897777,2.344260714,3.011475005
0.598110378,9.576364156,53.63109316,171.5046635,3.338907082,3.84076888
1.03,7.501960997,51.54953636,184.3100437,2.005347594,3.515555596
1.907083816,12.95186716,69.86393246,176.1663168,4.002689808,3.56433758
6.120732032,9.168170266,100.7135441,161.0020607,4.327609349,3.613119588
1.229938685,11.90030701,60.69880883,192.9974942,2.015424717,2.718783052
0.31834396,11.08689935,44.40071683,180.1225637,5.331598787,3.645640919
7.845391102,8.921326559,162.348116,122.902686,8.305780292,5.011536692
4.788612815,8.171026742,83.98181367,169.3701056,3.352302898,3.304166958
1.939006501,10.03014419,55.16768041,199.4097159,2.344260714,3.466773611
0.099668834,8.549059115,39.58013636,188.8623128,2.344260714,2.96269302
18.48103164,85.03959965,10.33506902,61.18374707,27.610095,0.6596
18.48394324,104.2530927,17.23790352,60.02243441,30.38671375,0.7211
19.03846154,84.06064862,14.74571171,59.43273166,29.51437066,0.5263
