Latitude,Longitude,MAT,MAP,Vegetation,Fertilization,Soil.type.raw,Soil.type,Soil.classification.system,Degree.Weathering,Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,Resi.P,TPo,TP,pH,TC,TN,Sand,Silt,Clay,Texture,PME,Top.depth,Bottom.depth,Mean.depth
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,5,5,23,31,63,7,,,531,4.55,9.84,0.6,,,,,5.32,0,5,2.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,5,4,27,32,71,6,,,523,4.25,11.34,0.72,,,,,5.5,5,10,7.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,33,81,4,190,0,13,,,600,4.9,8.69,0.72,,,,,1.14,0,5,2.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,7,16,13,55,32,5,,,544,3.8,9.37,0.69,,,,,1.1,5,10,7.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,12,9,47,33,164,6,,,747,4.19,15.82,0.87,,,,,6.84,0,5,2.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,9,11,50,43,157,4,,,700,4.25,11.1,0.63,,,,,3.86,5,10,7.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,96,38,23,161,98,2,,,666,4.74,7.44,0.39,,,,,0.4,0,5,2.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,16,12,22,24,75,6,,,503,5.58,5.11,0.24,,,,,1.66,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,6,9,18,74,7,4,,,570,4.39,8.83,0.78,,,,,7.62,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,3,5,9,49,85,4,,,542,4.42,7.94,0.65,,,,,3.64,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,10,50,2,260,29,22,,,652,5.47,6.27,0.57,,,,,0.7,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,4,17,3,92,33,8,,,458,5.04,7.7,0.54,,,,,0.62,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,5,13,17,86,59,5,,,553,4.42,8.1,0.68,,,,,3.68,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,3,5,17,40,70,5,,,497,4.42,7.73,0.59,,,,,2.04,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,7,12,22,69,73,13,,,554,4.66,10.12,0.63,,,,,3.66,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,4,7,16,43,68,6,,,537,4.69,8.94,0.53,,,,,3.26,5,10,7.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,4.4,21.4,17,7.9,8.4,4.4,193,,,6.297366667,1.452,0.171,34.4,35.5,30,clay loam,0.633549038,0,5,2.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,12.1,15,12.8,7,7,3.5,155.8,,,6.1975,1.509,0.166,38.3,31.9,29.8,clay loam,0.638544611,0,5,2.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,2.9,13.5,9.7,6.6,5.3,2.6,132.2,,,5.3245,1.552,0.166,40.2,31.1,28.7,clay loam,0.689231396,0,5,2.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,2.7,14.2,10.1,6.9,5,2.7,124.3,,,5.636533333,1.464,0.167,37.3,30.4,32.3,clay loam,0.709305069,0,5,2.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,2.5,19.2,17.7,6.4,7.9,3.5,165,,,6.207033333,0.915,0.119,29.5,34.7,35.7,clay loam,0.601107923,5,30,17.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,7,12.3,8.9,7,7.5,3,146.3,,,6.243733333,0.995,0.123,35.5,32.2,32.3,clay loam,0.58143095,5,30,17.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,1.6,12.6,11.3,6.2,5.5,2.9,123.2,,,5.1527,1.092,0.127,33.7,28.4,37.9,clay loam,0.633488825,5,30,17.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,1.3,11.7,14.2,8.4,4.6,2.6,119,,,5.475766667,1.029,0.129,28.4,31.4,40.1,clay,0.634372189,5,30,17.5
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,1.3,12.6,9.9,6.6,5,2.5,109.5,,,6.096933333,0.669,0.096,24,33,43,clay,0.589228917,30,60,45
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,4.2,11.2,9.4,6.3,4.6,2.9,120.9,,,6.3363,0.606,0.091,32.1,31.7,36.2,clay loam,0.574121064,30,60,45
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,0.9,10.5,9.1,5.7,5.3,2.7,105.7,,,5.276,0.644,0.098,27.9,29.2,43,clay,0.562211242,30,60,45
21.45944444,101.5641667,22,1480,Perennial.woody,NP,Oxisol,Oxisols,USDA system,High,0.5,10.8,8.4,8.5,4.5,2.3,113.8,,,5.3392,0.71,0.103,20.9,30.3,48.7,clay,0.606505508,30,60,45
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,103.7684476,25.39931268,5.028090711,61.51647262,38.03389163,304.9689143,317.648624,,,6.85,,,,,,silty clay loam,0.420974756,,,
